;Albacete;Alicante;Almería;Avila;Badajoz;Barcelona;Bilbao;Burgos;Cáceres;Cádiz;Castellón;Ciudad Real;Córdoba;A Coruña;Cuenca;Gerona;Granada;Guadalajara;Huelva;Huesca;Jaén;León;Lérida;Logroño;Lugo;Madrid;Málaga;Murcia;Orense;Oviedo;Palencia;Pamplona;Pontevedra;Salamanca;S.Sebastián ;Santander;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Vitoria;Zamora;Zaragoza
Pamplona;598 km;673 km;970 km;437 km;755 km;437 km;159 km;203 km;650 km;1,070 km;458 km;597 km;807 km;738 km;535 km;537 km;841 km;349 km;1,039 km;163 km;742 km;404 km;281 km;88 km;640 km;407 km;951 km;714 km;650 km;463 km;289 km;0 km;752 km;440 km;92 km;267 km;370 km;945 km;176 km;372 km;356 km;478 km;501 km;325 km;93 km;421 km;175 km
Pontevedra;874 km;1,045 km;1,186 km;545 km;747 km;1,129 km;707 km;549 km;658 km;1,047 km;1,040 km;701 km;977 km;121 km;791 km;1,229 km;1,058 km;681 km;981 km;905 km;957 km;373 km;973 km;664 km;148 km;623 km;1,153 km;1,024 km;102 km;390 km;463 km;752 km;0 km;448 km;781 km;666 km;569 km;922 km;676 km;1,064 km;907 km;682 km;975 km;458 km;663 km;386 km;833 km
Salamanca;463 km;634 km;763 km;97 km;299 km;778 km;395 km;237 km;210 km;599 km;629 km;353 km;529 km;473 km;379 km;878 km;631 km;270 km;533 km;554 km;532 km;197 km;622 km;352 km;375 km;212 km;756 km;613 km;346 km;315 km;162 km;440 km;448 km;0 km;469 km;363 km;164 km;474 km;325 km;713 km;514 km;234 km;564 km;115 km;351 km;62 km;482 km
S.Sebastián ;691 km;766 km;1,032 km;475 km;768 km;529 km;119 km;232 km;679 km;1,132 km;551 km;659 km;869 km;763 km;636 km;629 km;903 km;441 km;1,101 km;255 km;804 km;433 km;373 km;169 km;665 km;469 km;1,013 km;807 km;679 km;423 km;318 km;92 km;781 km;469 km;0 km;227 km;429 km;1,007 km;268 km;464 km;449 km;540 km;594 km;354 km;118 km;450 km;268 km
Santander;644 km;815 km;956 km;369 km;662 km;693 km;108 km;156 km;573 km;1,056 km;680 km;583 km;793 km;547 km;560 km;793 km;827 km;394 km;962 km;430 km;728 km;293 km;537 km;225 km;449 km;393 km;937 km;794 km;544 km;207 km;201 km;267 km;666 km;363 km;227 km;0 km;359 km;837 km;297 km;628 km;528 km;464 km;673 km;248 km;174 km;344 km;397 km
Segovia;338 km;509 km;650 km;67 km;385 km;650 km;355 km;197 km;296 km;750 km;504 km;277 km;497 km;560 km;254 km;750 km;521 km;145 km;619 km;426 km;422 km;245 km;494 km;299 km;462 km;87 km;631 km;488 km;467 km;363 km;158 km;370 km;569 km;164 km;429 km;359 km;0 km;560 km;194 km;585 km;389 km;158 km;439 km;111 km;311 km;182 km;354 km
Sevilla;492 km;609 km;422 km;493 km;217 km;1,046 km;993 km;775 km;264 km;125 km;762 km;339 km;138 km;947 km;583 km;1,146 km;256 km;596 km;94 km;935 km;242 km;671 km;1,003 km;874 km;849 km;538 km;219 km;534 km;820 km;789 km;636 km;945 km;922 km;474 km;1,007 km;837 km;560 km;0 km;769 km;949 km;748 km;458 km;697 km;589 km;825 km;536 km;863 km
Soria;473 km;548 km;794 km;261 km;579 km;453 km;257 km;141 km;490 km;894 km;383 km;421 km;631 km;676 km;359 km;553 km;665 km;173 km;863 km;229 km;566 km;342 km;297 km;105 km;578 km;231 km;775 km;589 km;574 km;463 km;213 km;176 km;676 km;325 km;268 km;297 km;194 km;769 km;0 km;388 km;231 km;302 km;376 km;210 km;191 km;306 km;157 km
Tarragona;443 km;417 km;711 km;649 km;935 km;98 km;555 km;518 km;831 km;1,059 km;186 km;649 km;796 km;1,064 km;464 km;198 km;770 km;476 km;1,029 km;209 km;707 km;719 km;91 km;403 km;966 km;534 km;899 km;492 km;962 km;835 km;604 km;372 km;1,064 km;713 km;464 km;628 km;585 km;949 km;388 km;0 km;311 km;605 km;251 km;598 km;489 km;694 km;231 km
Teruel;242 km;317 km;577 km;417 km;703 km;409 km;488 km;372 km;599 km;873 km;152 km;397 km;596 km;907 km;153 km;509 km;605 km;244 km;842 km;253 km;506 km;573 km;319 km;336 km;809 km;302 km;715 km;385 km;805 km;694 km;444 km;356 km;907 km;514 km;449 km;528 km;389 km;748 km;231 km;311 km;0 km;340 km;145 km;441 km;422 km;537 km;181 km
Toledo;240 km;411 km;526 km;137 km;368 km;692 km;466 km;308 km;264 km;583 km;437 km;119 km;320 km;675 km;187 km;792 km;397 km;129 km;552 km;468 km;298 km;392 km;536 km;407 km;577 km;71 km;507 km;390 km;580 km;510 km;305 km;478 km;682 km;234 km;540 km;464 km;158 km;458 km;302 km;605 km;340 km;0 km;372 km;258 km;422 km;296 km;396 km
Valencia;191 km;166 km;460 km;467 km;716 km;349 km;633 km;517 km;636 km;808 km;65 km;398 km;545 km;961 km;220 km;449 km;519 km;410 km;791 km;398 km;455 km;685 km;324 km;481 km;863 km;352 km;648 km;241 km;873 km;803 km;592 km;501 km;975 km;564 km;594 km;673 km;439 km;697 km;376 km;251 km;145 km;372 km;0 km;545 km;576 km;600 km;326 km
Valladolid;444 km;615 km;756 km;121 km;414 km;663 km;280 km;122 km;325 km;714 km;563 km;377 km;578 km;455 km;360 km;763 km;627 km;251 km;648 km;439 km;528 km;134 km;507 km;237 km;357 km;193 km;737 km;594 km;356 km;252 km;47 km;325 km;458 km;115 km;354 km;248 km;111 km;589 km;210 km;598 km;441 km;258 km;545 km;0 km;236 km;96 km;367 km
Vitoria;602 km;739 km;914 km;357 km;650 km;530 km;66 km;114 km;561 km;1,014 km;574 km;541 km;751 km;549 km;518 km;630 km;785 km;352 km;919 km;256 km;686 km;315 km;374 km;86 km;451 km;351 km;895 km;752 km;561 km;340 km;200 km;93 km;663 km;351 km;118 km;174 km;311 km;825 km;191 km;489 km;422 km;422 km;576 km;236 km;0 km;332 km;258 km
Zamora;499 km;670 km;811 km;159 km;361 km;759 km;376 km;218 km;272 km;661 km;665 km;415 km;616 km;411 km;415 km;859 km;682 km;306 km;595 km;535 km;583 km;135 km;603 km;333 km;313 km;248 km;792 km;649 km;284 km;253 km;143 km;421 km;386 km;62 km;450 km;344 km;182 km;536 km;306 km;694 km;537 km;296 km;600 km;96 km;332 km;0 km;463 km
Zaragoza;423 km;498 km;758 km;418 km;726 km;296 km;324 km;287 km;622 km;988 km;283 km;515 km;725 km;833 km;334 km;396 km;759 km;267 km;957 km;72 km;660 km;488 km;140 km;172 km;735 km;325 km;869 km;539 km;731 km;604 km;373 km;175 km;833 km;482 km;268 km;397 km;354 km;863 km;157 km;231 km;181 km;396 km;326 km;367 km;258 km;463 km;0 km
